"","timestamp","timezone","humidity","pm_10","pm_2_5","pm_2_5_sp","temperature"
"0","2023-03-31 22:00:00","Asia/Bangkok","62.659563337054","4.7272727272727","4.7272727272727","4.7272727272727","27.147783551897"
"1","2023-04-02 18:00:00","Asia/Bangkok","69.995698474702","7.8571428571429","7.1428571428571","7.1428571428571","32.246965680804"
"2","2023-04-02 19:00:00","Asia/Bangkok","65.608215332031","8.4","7.8","7.8","32.518829345703"
"3","2023-04-02 20:00:00","Asia/Bangkok","65.489705403646","8.75","8.2666666666667","8.2666666666667","31.864227294922"
"4","2023-04-02 21:00:00","Asia/Bangkok","65.811462402344","10.316666666667","9.0833333333333","9.0833333333333","31.412887573242"
"5","2023-04-02 22:00:00","Asia/Bangkok","66.193542480469","10.25","9.3666666666667","9.3666666666667","30.878463745117"
"6","2023-04-02 23:00:00","Asia/Bangkok","66.52598063151","8.3666666666667","7.4666666666667","7.4666666666667","30.459350585938"
"7","2023-04-03 00:00:00","Asia/Bangkok","66.876118977865","8.45","7.2","7.2","30.042083740234"
"8","2023-04-03 01:00:00","Asia/Bangkok","67.430725097656","8.45","7.7833333333333","7.7833333333333","29.392181396484"
"9","2023-04-03 02:00:00","Asia/Bangkok","68.017985026042","18.216666666667","16.5","16.516666666667","29.118591308594"
"10","2023-04-03 03:00:00","Asia/Bangkok","68.853454589844","27.05","24.783333333333","24.966666666667","28.612701416016"
"11","2023-04-03 04:00:00","Asia/Bangkok","69.691119277686","31.719298245614","28.543859649123","29.385964912281","28.313421952097"
"12","2023-04-03 05:00:00","Asia/Bangkok","69.976399739583","27.316666666667","25.316666666667","25.616666666667","28.400375366211"
"13","2023-04-03 06:00:00","Asia/Bangkok","70.52744547526","22.983333333333","20.8","20.816666666667","28.155822753906"
"14","2023-04-03 07:00:00","Asia/Bangkok","70.688069661458","21.983333333333","20","20.2","28.565704345703"
"15","2023-04-03 08:00:00","Asia/Bangkok","68.976236979167","19.066666666667","16.9","16.9","31.722732543945"
"16","2023-04-03 09:00:00","Asia/Bangkok","67.137247721354","19.616666666667","17.166666666667","17.166666666667","34.32502746582"
"17","2023-04-03 10:00:00","Asia/Bangkok","64.771728515625","26.75","24.383333333333","24.5","37.615661621094"
"18","2023-04-03 11:00:00","Asia/Bangkok","61.320393880208","16.116666666667","14.533333333333","14.533333333333","42.142822265625"
"19","2023-04-03 12:00:00","Asia/Bangkok","59.721069335938","14.633333333333","13.383333333333","13.383333333333","42.452331542969"
"20","2023-04-03 13:00:00","Asia/Bangkok","60.21006266276","14.1","12.616666666667","12.616666666667","39.21305847168"
"21","2023-04-03 14:00:00","Asia/Bangkok","59.671020507812","9.25","8.6","8.6","38.256500244141"
"22","2023-04-03 15:00:00","Asia/Bangkok","57.782592773438","11.55","9.7","9.7","40.105667114258"
"23","2023-04-03 16:00:00","Asia/Bangkok","53.583475748698","11.85","10.916666666667","10.916666666667","44.723129272461"
"24","2023-04-03 17:00:00","Asia/Bangkok","56.622517903646","12.866666666667","12.133333333333","12.133333333333","39.466842651367"
"25","2023-04-03 18:00:00","Asia/Bangkok","58.081868489583","13.766666666667","12.116666666667","12.116666666667","36.432006835938"
"26","2023-04-03 19:00:00","Asia/Bangkok","60.206909179688","10.8","9.4","9.4","33.202972412109"
"27","2023-04-03 20:00:00","Asia/Bangkok","61.249200228987","4.5614035087719","3.9824561403509","3.9824561403509","31.038734172953"
"28","2023-04-03 21:00:00","Asia/Bangkok","61.700542902542","8.4406779661017","7.3559322033898","7.3559322033898","30.445422156382"
"29","2023-04-03 22:00:00","Asia/Bangkok","62.523091634115","6.7833333333333","6.2166666666667","6.2166666666667","29.823547363281"
"30","2023-04-03 23:00:00","Asia/Bangkok","63.445536295573","8.5166666666667","7.5666666666667","7.5666666666667","29.264114379883"
"31","2023-04-04 00:00:00","Asia/Bangkok","64.366455078125","19.166666666667","17.133333333333","17.133333333333","29.176498413086"
"32","2023-04-04 01:00:00","Asia/Bangkok","65.275166829427","14.166666666667","12.75","12.75","29.383117675781"
"33","2023-04-04 02:00:00","Asia/Bangkok","65.997823079427","15.216666666667","13.433333333333","13.433333333333","29.316146850586"
"34","2023-04-04 03:00:00","Asia/Bangkok","66.670125325521","12.616666666667","11.2","11.2","29.052795410156"
"35","2023-04-04 04:00:00","Asia/Bangkok","67.138671875","11.116666666667","9.7833333333333","9.7833333333333","29.127151489258"
"36","2023-04-04 05:00:00","Asia/Bangkok","67.835286458333","11.366666666667","10.266666666667","10.266666666667","28.777526855469"
"37","2023-04-04 06:00:00","Asia/Bangkok","68.476359049479","11.566666666667","10.833333333333","10.833333333333","28.547912597656"
"38","2023-04-04 07:00:00","Asia/Bangkok","69.059651692708","14.8","13.666666666667","13.666666666667","28.719284057617"
"39","2023-04-04 08:00:00","Asia/Bangkok","66.542460123698","16.566666666667","15.233333333333","15.233333333333","33.392135620117"
"40","2023-04-04 09:00:00","Asia/Bangkok","59.645284016927","17.266666666667","15.283333333333","15.283333333333","43.916122436523"
"41","2023-04-04 10:00:00","Asia/Bangkok","58.433634440104","18.983333333333","17.4","17.4","44.489990234375"
"42","2023-04-04 11:00:00","Asia/Bangkok","56.897481282552","14.866666666667","13.35","13.35","44.838272094727"
"43","2023-04-04 12:00:00","Asia/Bangkok","55.899658203125","16.5","14.733333333333","14.733333333333","44.027069091797"
"44","2023-04-04 13:00:00","Asia/Bangkok","54.147745768229","14.866666666667","13.833333333333","13.833333333333","44.499893188477"
